ภาคตะวันออกเฉียงเหนือ,230933.0,213880.0,210478.0,196982.0,189532.0,186144.0,177035.0,165594.0,158679.0,150987.0
นครราชสีมา,28623.0,26922.0,26769.0,25177.0,24048.0,23705.0,22660.0,21171.0,20299.0,19197.0
บุรีรัมย์,16636.0,15489.0,15369.0,14390.0,13565.0,13320.0,12727.0,11830.0,11373.0,10655.0
สุรินทร์,14680.0,13507.0,13383.0,12609.0,12140.0,11791.0,11139.0,10333.0,9962.0,9486.0
ศรีสะเกษ,14374.0,13106.0,12923.0,12097.0,11658.0,11163.0,10516.0,10103.0,9904.0,9462.0
อุบลราชธานี,21802.0,20122.0,19947.0,18783.0,18170.0,17574.0,17089.0,16541.0,15726.0,15051.0
ยโสธร,4994.0,4659.0,4422.0,4325.0,4073.0,3823.0,3581.0,3355.0,3407.0,3420.0
ชัยภูมิ,10728.0,9779.0,9623.0,8892.0,8500.0,8470.0,8067.0,7463.0,7336.0,6813.0
อำนาจเจริญ,3627.0,3464.0,3283.0,3036.0,2938.0,3045.0,2841.0,2475.0,2637.0,2648.0
บึงกาฬ,5341.0,4971.0,4463.0,4117.0,3795.0,3721.0,3726.0,3359.0,3248.0,3093.0
หนองบัวลำภู,5270.0,4920.0,4814.0,4538.0,4295.0,4281.0,3944.0,3790.0,3586.0,3349.0
ขอนแก่น,21008.0,19643.0,19221.0,17964.0,17628.0,16959.0,15860.0,14916.0,14012.0,13251.0
อุดรธานี,17444.0,16356.0,16119.0,15159.0,14722.0,14603.0,13819.0,12755.0,11775.0,10852.0
เลย,7435.0,6790.0,6484.0,6171.0,5968.0,6094.0,5690.0,5258.0,5065.0,4858.0
หนองคาย,5496.0,5209.0,5229.0,4731.0,4588.0,4544.0,4301.0,3953.0,3921.0,3684.0
มหาสารคาม,7934.0,7425.0,7179.0,6884.0,6643.0,6603.0,6141.0,5788.0,5622.0,5386.0
ร้อยเอ็ด,11197.0,10278.0,10390.0,9602.0,9255.0,9169.0,8724.0,8188.0,7957.0,7829.0
กาฬสินธุ์,9407.0,8391.0,8471.0,7658.0,7344.0,7165.0,6814.0,6493.0,6145.0,5954.0
สกลนคร,13847.0,12791.0,12421.0,11588.0,11262.0,11026.0,10468.0,9404.0,8770.0,8418.0
นครพนม,6971.0,6309.0,6086.0,5557.0,5304.0,5453.0,5267.0,5000.0,5023.0,4727.0
มุกดาหาร,4119.0,3749.0,3882.0,3704.0,3636.0,3635.0,3661.0,3419.0,2911.0,2854.0
ภาคใต้,147216.0,144106.0,141120.0,134139.0,125732.0,124907.0,120365.0,112044.0,107879.0,99204.0
นครศรีธรรมราช,19531.0,19130.0,18742.0,17564.0,16082.0,15711.0,14988.0,14436.0,13653.0,13058.0
กระบี่,7779.0,7498.0,7427.0,7139.0,6730.0,6624.0,6156.0,5864.0,5591.0,5018.0
พังงา,3582.0,3534.0,3487.0,3375.0,3142.0,2949.0,2423.0,2021.0,2085.0,1860.0
ภูเก็ต,9087.0,9065.0,8939.0,8570.0,8196.0,8154.0,7912.0,7321.0,6370.0,4807.0
สุราษฎร์ธานี,16610.0,15840.0,15939.0,14961.0,13807.0,13808.0,13571.0,12129.0,11452.0,10179.0
ระนอง,2657.0,2795.0,3015.0,2688.0,2455.0,2515.0,2584.0,2450.0,2021.0,1680.0
ชุมพร,6720.0,6463.0,6419.0,6128.0,5706.0,5608.0,5351.0,4857.0,4638.0,4476.0
สงขลา,22709.0,22756.0,22348.0,21256.0,19941.0,19524.0,18946.0,16767.0,16117.0,15150.0
สตูล,5109.0,5024.0,4832.0,4539.0,4129.0,4113.0,3883.0,3558.0,3509.0,3162.0
ตรัง,9079.0,8558.0,8194.0,7539.0,6746.0,6664.0,6341.0,5976.0,5564.0,5077.0
พัทลุง,5837.0,5573.0,5513.0,5058.0,4462.0,4379.0,4274.0,3918.0,3719.0,3404.0
ปัตตานี,12609.0,12573.0,11852.0,11710.0,11369.0,11535.0,11065.0,10641.0,10933.0,10283.0
ยะลา,11791.0,11489.0,11108.0,10919.0,10524.0,10738.0,10671.0,10407.0,10261.0,9755.0
นราธิวาส,14116.0,13808.0,13305.0,12693.0,12443.0,12585.0,12200.0,11699.0,11966.0,11295.0
