,ภาค,จังหวัด,เพศ,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
177,ภาคตะวันออกเฉียงเหนือ,เลย,รวม,7435.0,6790.0,6484.0,6171.0,5968.0,6094.0,5690.0,5258.0,5065.0,4858.0
178,ภาคตะวันออกเฉียงเหนือ,เลย,ชาย,3872.0,3540.0,3436.0,3160.0,3007.0,3165.0,2975.0,2608.0,2633.0,2490.0
179,ภาคตะวันออกเฉียงเหนือ,เลย,หญิง,3563.0,3250.0,3048.0,3011.0,2961.0,2929.0,2715.0,2650.0,2432.0,2368.0
180,ภาคตะวันออกเฉียงเหนือ,หนองคาย,รวม,5496.0,5209.0,5229.0,4731.0,4588.0,4544.0,4301.0,3953.0,3921.0,3684.0
181,ภาคตะวันออกเฉียงเหนือ,หนองคาย,ชาย,2831.0,2734.0,2655.0,2426.0,2340.0,2325.0,2191.0,2039.0,1937.0,1894.0
182,ภาคตะวันออกเฉียงเหนือ,หนองคาย,หญิง,2665.0,2475.0,2574.0,2305.0,2248.0,2219.0,2110.0,1914.0,1984.0,1790.0
183,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,รวม,7934.0,7425.0,7179.0,6884.0,6643.0,6603.0,6141.0,5788.0,5622.0,5386.0
184,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,ชาย,4048.0,3826.0,3714.0,3509.0,3448.0,3468.0,3196.0,2967.0,2863.0,2714.0
185,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,หญิง,3886.0,3599.0,3465.0,3375.0,3195.0,3135.0,2945.0,2821.0,2759.0,2672.0
186,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,รวม,11197.0,10278.0,10390.0,9602.0,9255.0,9169.0,8724.0,8188.0,7957.0,7829.0
187,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,ชาย,5739.0,5285.0,5235.0,4966.0,4782.0,4754.0,4459.0,4172.0,4036.0,4060.0
188,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,หญิง,5458.0,4993.0,5155.0,4636.0,4473.0,4415.0,4265.0,4016.0,3921.0,3769.0
189,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,รวม,9407.0,8391.0,8471.0,7658.0,7344.0,7165.0,6814.0,6493.0,6145.0,5954.0
190,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,ชาย,4816.0,4319.0,4351.0,3939.0,3790.0,3725.0,3465.0,3384.0,3106.0,3063.0
191,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,หญิง,4591.0,4072.0,4120.0,3719.0,3554.0,3440.0,3349.0,3109.0,3039.0,2891.0
192,ภาคตะวันออกเฉียงเหนือ,สกลนคร,รวม,13847.0,12791.0,12421.0,11588.0,11262.0,11026.0,10468.0,9404.0,8770.0,8418.0
193,ภาคตะวันออกเฉียงเหนือ,สกลนคร,ชาย,7074.0,6622.0,6336.0,5948.0,5797.0,5658.0,5456.0,4790.0,4486.0,4306.0
194,ภาคตะวันออกเฉียงเหนือ,สกลนคร,หญิง,6773.0,6169.0,6085.0,5640.0,5465.0,5368.0,5012.0,4614.0,4284.0,4112.0
195,ภาคตะวันออกเฉียงเหนือ,นครพนม,รวม,6971.0,6309.0,6086.0,5557.0,5304.0,5453.0,5267.0,5000.0,5023.0,4727.0
196,ภาคตะวันออกเฉียงเหนือ,นครพนม,ชาย,3587.0,3200.0,3148.0,2857.0,2730.0,2810.0,2724.0,2578.0,2548.0,2442.0
197,ภาคตะวันออกเฉียงเหนือ,นครพนม,หญิง,3384.0,3109.0,2938.0,2700.0,2574.0,2643.0,2543.0,2422.0,2475.0,2285.0
198,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,รวม,4119.0,3749.0,3882.0,3704.0,3636.0,3635.0,3661.0,3419.0,2911.0,2854.0
199,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,ชาย,2153.0,1923.0,1955.0,1885.0,1877.0,1853.0,1868.0,1721.0,1498.0,1454.0
200,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,หญิง,1966.0,1826.0,1927.0,1819.0,1759.0,1782.0,1793.0,1698.0,1413.0,1400.0
201,ภาคใต้,ภาคใต้,รวม,147216.0,144106.0,141120.0,134139.0,125732.0,124907.0,120365.0,112044.0,107879.0,99204.0
202,ภาคใต้,ภาคใต้,ชาย,75910.0,74092.0,73110.0,68908.0,64505.0,64355.0,62299.0,57582.0,55549.0,50939.0
203,ภาคใต้,ภาคใต้,หญิง,71306.0,70014.0,68010.0,65231.0,61227.0,60552.0,58066.0,54462.0,52330.0,48265.0
204,ภาคใต้,นครศรีธรรมราช,รวม,19531.0,19130.0,18742.0,17564.0,16082.0,15711.0,14988.0,14436.0,13653.0,13058.0
205,ภาคใต้,นครศรีธรรมราช,ชาย,10136.0,9685.0,9604.0,9144.0,8273.0,8156.0,7736.0,7327.0,6987.0,6628.0
206,ภาคใต้,นครศรีธรรมราช,หญิง,9395.0,9445.0,9138.0,8420.0,7809.0,7555.0,7252.0,7109.0,6666.0,6430.0
207,ภาคใต้,กระบี่,รวม,7779.0,7498.0,7427.0,7139.0,6730.0,6624.0,6156.0,5864.0,5591.0,5018.0
208,ภาคใต้,กระบี่,ชาย,3988.0,3865.0,3805.0,3696.0,3380.0,3419.0,3221.0,2992.0,2887.0,2559.0
209,ภาคใต้,กระบี่,หญิง,3791.0,3633.0,3622.0,3443.0,3350.0,3205.0,2935.0,2872.0,2704.0,2459.0
210,ภาคใต้,พังงา,รวม,3582.0,3534.0,3487.0,3375.0,3142.0,2949.0,2423.0,2021.0,2085.0,1860.0
211,ภาคใต้,พังงา,ชาย,1824.0,1808.0,1807.0,1692.0,1622.0,1526.0,1318.0,1051.0,1051.0,946.0
212,ภาคใต้,พังงา,หญิง,1758.0,1726.0,1680.0,1683.0,1520.0,1423.0,1105.0,970.0,1034.0,914.0
213,ภาคใต้,ภูเก็ต,รวม,9087.0,9065.0,8939.0,8570.0,8196.0,8154.0,7912.0,7321.0,6370.0,4807.0
214,ภาคใต้,ภูเก็ต,ชาย,4719.0,4647.0,4643.0,4416.0,4168.0,4244.0,4080.0,3766.0,3249.0,2496.0
215,ภาคใต้,ภูเก็ต,หญิง,4368.0,4418.0,4296.0,4154.0,4028.0,3910.0,3832.0,3555.0,3121.0,2311.0
216,ภาคใต้,สุราษฎร์ธานี,รวม,16610.0,15840.0,15939.0,14961.0,13807.0,13808.0,13571.0,12129.0,11452.0,10179.0
217,ภาคใต้,สุราษฎร์ธานี,ชาย,8625.0,8191.0,8298.0,7617.0,7111.0,7055.0,7000.0,6220.0,5954.0,5283.0
218,ภาคใต้,สุราษฎร์ธานี,หญิง,7985.0,7649.0,7641.0,7344.0,6696.0,6753.0,6571.0,5909.0,5498.0,4896.0
219,ภาคใต้,ระนอง,รวม,2657.0,2795.0,3015.0,2688.0,2455.0,2515.0,2584.0,2450.0,2021.0,1680.0
220,ภาคใต้,ระนอง,ชาย,1333.0,1434.0,1569.0,1379.0,1287.0,1354.0,1305.0,1206.0,1024.0,859.0
221,ภาคใต้,ระนอง,หญิง,1324.0,1361.0,1446.0,1309.0,1168.0,1161.0,1279.0,1244.0,997.0,821.0
222,ภาคใต้,ชุมพร,รวม,6720.0,6463.0,6419.0,6128.0,5706.0,5608.0,5351.0,4857.0,4638.0,4476.0
223,ภาคใต้,ชุมพร,ชาย,3503.0,3383.0,3312.0,3144.0,2974.0,2856.0,2759.0,2479.0,2413.0,2293.0
224,ภาคใต้,ชุมพร,หญิง,3217.0,3080.0,3107.0,2984.0,2732.0,2752.0,2592.0,2378.0,2225.0,2183.0
225,ภาคใต้,สงขลา,รวม,22709.0,22756.0,22348.0,21256.0,19941.0,19524.0,18946.0,16767.0,16117.0,15150.0
226,ภาคใต้,สงขลา,ชาย,11561.0,11764.0,11555.0,10882.0,10303.0,10030.0,9847.0,8675.0,8382.0,7816.0
227,ภาคใต้,สงขลา,หญิง,11148.0,10992.0,10793.0,10374.0,9638.0,9494.0,9099.0,8092.0,7735.0,7334.0
228,ภาคใต้,สตูล,รวม,5109.0,5024.0,4832.0,4539.0,4129.0,4113.0,3883.0,3558.0,3509.0,3162.0
229,ภาคใต้,สตูล,ชาย,2623.0,2564.0,2532.0,2378.0,2123.0,2139.0,1939.0,1852.0,1825.0,1704.0
230,ภาคใต้,สตูล,หญิง,2486.0,2460.0,2300.0,2161.0,2006.0,1974.0,1944.0,1706.0,1684.0,1458.0
231,ภาคใต้,ตรัง,รวม,9079.0,8558.0,8194.0,7539.0,6746.0,6664.0,6341.0,5976.0,5564.0,5077.0
232,ภาคใต้,ตรัง,ชาย,4685.0,4470.0,4296.0,3917.0,3411.0,3415.0,3328.0,3124.0,2859.0,2595.0
233,ภาคใต้,ตรัง,หญิง,4394.0,4088.0,3898.0,3622.0,3335.0,3249.0,3013.0,2852.0,2705.0,2482.0
234,ภาคใต้,พัทลุง,รวม,5837.0,5573.0,5513.0,5058.0,4462.0,4379.0,4274.0,3918.0,3719.0,3404.0
235,ภาคใต้,พัทลุง,ชาย,3005.0,2927.0,2935.0,2621.0,2235.0,2192.0,2176.0,2018.0,1945.0,1697.0
236,ภาคใต้,พัทลุง,หญิง,2832.0,2646.0,2578.0,2437.0,2227.0,2187.0,2098.0,1900.0,1774.0,1707.0
237,ภาคใต้,ปัตตานี,รวม,12609.0,12573.0,11852.0,11710.0,11369.0,11535.0,11065.0,10641.0,10933.0,10283.0
238,ภาคใต้,ปัตตานี,ชาย,6495.0,6492.0,6080.0,6001.0,5745.0,5959.0,5705.0,5502.0,5626.0,5192.0
239,ภาคใต้,ปัตตานี,หญิง,6114.0,6081.0,5772.0,5709.0,5624.0,5576.0,5360.0,5139.0,5307.0,5091.0
240,ภาคใต้,ยะลา,รวม,11791.0,11489.0,11108.0,10919.0,10524.0,10738.0,10671.0,10407.0,10261.0,9755.0
241,ภาคใต้,ยะลา,ชาย,6079.0,5973.0,5769.0,5590.0,5514.0,5565.0,5521.0,5264.0,5232.0,5073.0
242,ภาคใต้,ยะลา,หญิง,5712.0,5516.0,5339.0,5329.0,5010.0,5173.0,5150.0,5143.0,5029.0,4682.0
243,ภาคใต้,นราธิวาส,รวม,14116.0,13808.0,13305.0,12693.0,12443.0,12585.0,12200.0,11699.0,11966.0,11295.0
244,ภาคใต้,นราธิวาส,ชาย,7334.0,6889.0,6905.0,6431.0,6359.0,6445.0,6364.0,6106.0,6115.0,5798.0
245,ภาคใต้,นราธิวาส,หญิง,6782.0,6919.0,6400.0,6262.0,6084.0,6140.0,5836.0,5593.0,5851.0,5497.0
