,ภาค,จังหวัด,เพศ,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
41,ภาคกลาง,ระยอง,หญิง,5032.0,4754.0,4780.0,4555.0,4454.0,4347.0,4416.0,4179.0,3856.0,3706.0
42,ภาคกลาง,จันทบุรี,รวม,6873.0,6506.0,6489.0,6160.0,5833.0,6110.0,5902.0,5574.0,5494.0,5320.0
43,ภาคกลาง,จันทบุรี,ชาย,3569.0,3316.0,3309.0,3161.0,3001.0,3098.0,3076.0,2903.0,2809.0,2722.0
44,ภาคกลาง,จันทบุรี,หญิง,3304.0,3190.0,3180.0,2999.0,2832.0,3012.0,2826.0,2671.0,2685.0,2598.0
45,ภาคกลาง,ตราด,รวม,2736.0,2664.0,2679.0,2389.0,2119.0,2150.0,2322.0,2141.0,1883.0,1839.0
46,ภาคกลาง,ตราด,ชาย,1434.0,1376.0,1340.0,1280.0,1075.0,1097.0,1203.0,1102.0,967.0,956.0
47,ภาคกลาง,ตราด,หญิง,1302.0,1288.0,1339.0,1109.0,1044.0,1053.0,1119.0,1039.0,916.0,883.0
48,ภาคกลาง,ฉะเชิงเทรา,รวม,8953.0,8296.0,8576.0,7997.0,7618.0,7452.0,7239.0,6711.0,6734.0,6315.0
49,ภาคกลาง,ฉะเชิงเทรา,ชาย,4630.0,4383.0,4365.0,4064.0,3930.0,3797.0,3769.0,3409.0,3476.0,3258.0
50,ภาคกลาง,ฉะเชิงเทรา,หญิง,4323.0,3913.0,4211.0,3933.0,3688.0,3655.0,3470.0,3302.0,3258.0,3057.0
51,ภาคกลาง,ปราจีนบุรี,รวม,6075.0,5878.0,5906.0,5565.0,5489.0,5597.0,5354.0,5200.0,5256.0,4901.0
52,ภาคกลาง,ปราจีนบุรี,ชาย,3201.0,3033.0,3061.0,2851.0,2847.0,2871.0,2691.0,2650.0,2737.0,2547.0
53,ภาคกลาง,ปราจีนบุรี,หญิง,2874.0,2845.0,2845.0,2714.0,2642.0,2726.0,2663.0,2550.0,2519.0,2354.0
54,ภาคกลาง,นครนายก,รวม,3753.0,3684.0,3822.0,3677.0,3485.0,3631.0,3483.0,3253.0,3148.0,2793.0
55,ภาคกลาง,นครนายก,ชาย,1908.0,1952.0,1970.0,1928.0,1864.0,1858.0,1821.0,1714.0,1611.0,1453.0
56,ภาคกลาง,นครนายก,หญิง,1845.0,1732.0,1852.0,1749.0,1621.0,1773.0,1662.0,1539.0,1537.0,1340.0
57,ภาคกลาง,สระแก้ว,รวม,6137.0,5785.0,5747.0,5470.0,5287.0,5521.0,5291.0,5140.0,4973.0,4855.0
58,ภาคกลาง,สระแก้ว,ชาย,3131.0,2929.0,2960.0,2772.0,2764.0,2856.0,2727.0,2697.0,2522.0,2520.0
59,ภาคกลาง,สระแก้ว,หญิง,3006.0,2856.0,2787.0,2698.0,2523.0,2665.0,2564.0,2443.0,2451.0,2335.0
60,ภาคกลาง,ราชบุรี,รวม,10958.0,10490.0,10756.0,10072.0,9739.0,9699.0,8933.0,8077.0,7465.0,7208.0
61,ภาคกลาง,ราชบุรี,ชาย,5728.0,5451.0,5446.0,5154.0,5060.0,5136.0,4710.0,4188.0,3890.0,3716.0
62,ภาคกลาง,ราชบุรี,หญิง,5230.0,5039.0,5310.0,4918.0,4679.0,4563.0,4223.0,3889.0,3575.0,3492.0
63,ภาคกลาง,กาญจนบุรี,รวม,9769.0,9476.0,9465.0,8813.0,8273.0,8547.0,7886.0,7407.0,7129.0,6895.0
64,ภาคกลาง,กาญจนบุรี,ชาย,5002.0,4898.0,4870.0,4618.0,4217.0,4383.0,4044.0,3811.0,3686.0,3518.0
65,ภาคกลาง,กาญจนบุรี,หญิง,4767.0,4578.0,4595.0,4195.0,4056.0,4164.0,3842.0,3596.0,3443.0,3377.0
66,ภาคกลาง,สุพรรณบุรี,รวม,9368.0,8979.0,8990.0,8307.0,7766.0,7689.0,7398.0,6729.0,6545.0,6109.0
67,ภาคกลาง,สุพรรณบุรี,ชาย,4810.0,4618.0,4671.0,4304.0,4029.0,3952.0,3811.0,3378.0,3325.0,3122.0
68,ภาคกลาง,สุพรรณบุรี,หญิง,4558.0,4361.0,4319.0,4003.0,3737.0,3737.0,3587.0,3351.0,3220.0,2987.0
69,ภาคกลาง,นครปฐม,รวม,9731.0,9491.0,9301.0,8896.0,8545.0,8442.0,7936.0,7256.0,6587.0,6056.0
70,ภาคกลาง,นครปฐม,ชาย,5082.0,4927.0,4808.0,4573.0,4342.0,4290.0,4047.0,3726.0,3403.0,3082.0
71,ภาคกลาง,นครปฐม,หญิง,4649.0,4564.0,4493.0,4323.0,4203.0,4152.0,3889.0,3530.0,3184.0,2974.0
72,ภาคกลาง,สมุทรสาคร,รวม,12212.0,13484.0,13915.0,13839.0,13065.0,13032.0,10702.0,7798.0,7598.0,6550.0
73,ภาคกลาง,สมุทรสาคร,ชาย,6401.0,6995.0,7122.0,7111.0,6847.0,6827.0,5607.0,4001.0,3954.0,3335.0
74,ภาคกลาง,สมุทรสาคร,หญิง,5811.0,6489.0,6793.0,6728.0,6218.0,6205.0,5095.0,3797.0,3644.0,3215.0
75,ภาคกลาง,สมุทรสงคราม,รวม,1459.0,1466.0,1484.0,1366.0,1197.0,1143.0,1079.0,885.0,865.0,843.0
76,ภาคกลาง,สมุทรสงคราม,ชาย,754.0,752.0,741.0,723.0,616.0,610.0,574.0,435.0,447.0,406.0
77,ภาคกลาง,สมุทรสงคราม,หญิง,705.0,714.0,743.0,643.0,581.0,533.0,505.0,450.0,418.0,437.0
78,ภาคกลาง,เพชรบุรี,รวม,4937.0,4632.0,4707.0,4465.0,4351.0,4330.0,3943.0,3609.0,3526.0,3225.0
79,ภาคกลาง,เพชรบุรี,ชาย,2564.0,2376.0,2430.0,2262.0,2234.0,2220.0,2007.0,1850.0,1814.0,1629.0
80,ภาคกลาง,เพชรบุรี,หญิง,2373.0,2256.0,2277.0,2203.0,2117.0,2110.0,1936.0,1759.0,1712.0,1596.0
81,ภาคกลาง,ประจวบคีรีขันธ์,รวม,7173.0,6789.0,6971.0,6677.0,6571.0,6562.0,5780.0,5370.0,5099.0,4621.0
82,ภาคกลาง,ประจวบคีรีขันธ์,ชาย,3713.0,3474.0,3608.0,3393.0,3397.0,3409.0,2994.0,2815.0,2662.0,2394.0
83,ภาคกลาง,ประจวบคีรีขันธ์,หญิง,3460.0,3315.0,3363.0,3284.0,3174.0,3153.0,2786.0,2555.0,2437.0,2227.0
84,ภาคเหนือ,ภาคเหนือ,รวม,118958.0,114366.0,113458.0,108005.0,103058.0,107074.0,101940.0,96710.0,90784.0,85050.0
85,ภาคเหนือ,ภาคเหนือ,ชาย,61268.0,58828.0,58245.0,55477.0,52976.0,55371.0,52569.0,49692.0,46772.0,43960.0
86,ภาคเหนือ,ภาคเหนือ,หญิง,57690.0,55538.0,55213.0,52528.0,50082.0,51703.0,49371.0,47018.0,44012.0,41090.0
87,ภาคเหนือ,เชียงใหม่,รวม,20394.0,20884.0,21181.0,21038.0,19789.0,20252.0,19422.0,17613.0,17013.0,15719.0
88,ภาคเหนือ,เชียงใหม่,ชาย,10448.0,10784.0,10941.0,10706.0,10080.0,10395.0,9995.0,9051.0,8737.0,8105.0
89,ภาคเหนือ,เชียงใหม่,หญิง,9946.0,10100.0,10240.0,10332.0,9709.0,9857.0,9427.0,8562.0,8276.0,7614.0
90,ภาคเหนือ,ลำพูน,รวม,3575.0,3446.0,3473.0,3315.0,3188.0,3114.0,3038.0,2747.0,2592.0,2420.0
91,ภาคเหนือ,ลำพูน,ชาย,1813.0,1743.0,1769.0,1645.0,1686.0,1611.0,1548.0,1385.0,1292.0,1291.0
92,ภาคเหนือ,ลำพูน,หญิง,1762.0,1703.0,1704.0,1670.0,1502.0,1503.0,1490.0,1362.0,1300.0,1129.0
93,ภาคเหนือ,ลำปาง,รวม,5339.0,4917.0,4729.0,4546.0,4470.0,4358.0,4126.0,3848.0,3633.0,3519.0
94,ภาคเหนือ,ลำปาง,ชาย,2764.0,2500.0,2398.0,2351.0,2290.0,2276.0,2149.0,1934.0,1866.0,1839.0
95,ภาคเหนือ,ลำปาง,หญิง,2575.0,2417.0,2331.0,2195.0,2180.0,2082.0,1977.0,1914.0,1767.0,1680.0
96,ภาคเหนือ,อุตรดิตถ์,รวม,3989.0,3748.0,3619.0,3232.0,3168.0,3121.0,2796.0,2651.0,2530.0,2411.0
97,ภาคเหนือ,อุตรดิตถ์,ชาย,2075.0,1963.0,1804.0,1652.0,1618.0,1652.0,1425.0,1401.0,1293.0,1251.0
98,ภาคเหนือ,อุตรดิตถ์,หญิง,1914.0,1785.0,1815.0,1580.0,1550.0,1469.0,1371.0,1250.0,1237.0,1160.0
99,ภาคเหนือ,แพร่,รวม,3329.0,2975.0,3060.0,2983.0,2694.0,2619.0,2479.0,2353.0,2153.0,2091.0
100,ภาคเหนือ,แพร่,ชาย,1663.0,1495.0,1550.0,1529.0,1375.0,1382.0,1264.0,1245.0,1110.0,1086.0
101,ภาคเหนือ,แพร่,หญิง,1666.0,1480.0,1510.0,1454.0,1319.0,1237.0,1215.0,1108.0,1043.0,1005.0
102,ภาคเหนือ,น่าน,รวม,4273.0,4071.0,3881.0,3621.0,3654.0,3469.0,3261.0,3203.0,3142.0,2916.0
103,ภาคเหนือ,น่าน,ชาย,2178.0,2060.0,1973.0,1906.0,1885.0,1803.0,1659.0,1632.0,1622.0,1473.0
104,ภาคเหนือ,น่าน,หญิง,2095.0,2011.0,1908.0,1715.0,1769.0,1666.0,1602.0,1571.0,1520.0,1443.0
105,ภาคเหนือ,พะเยา,รวม,3980.0,3715.0,3642.0,3436.0,3407.0,3338.0,3214.0,3066.0,2823.0,2666.0
106,ภาคเหนือ,พะเยา,ชาย,2015.0,1872.0,1910.0,1693.0,1739.0,1763.0,1658.0,1581.0,1497.0,1410.0
107,ภาคเหนือ,พะเยา,หญิง,1965.0,1843.0,1732.0,1743.0,1668.0,1575.0,1556.0,1485.0,1326.0,1256.0
108,ภาคเหนือ,เชียงราย,รวม,12399.0,12018.0,11784.0,11326.0,10899.0,11555.0,11158.0,10991.0,10371.0,9287.0
109,ภาคเหนือ,เชียงราย,ชาย,6473.0,6187.0,6073.0,5829.0,5621.0,5992.0,5753.0,5680.0,5300.0,4773.0
110,ภาคเหนือ,เชียงราย,หญิง,5926.0,5831.0,5711.0,5497.0,5278.0,5563.0,5405.0,5311.0,5071.0,4514.0
111,ภาคเหนือ,แม่ฮ่องสอน,รวม,3352.0,3392.0,3226.0,3210.0,3035.0,4126.0,4456.0,3759.0,3450.0,3288.0
112,ภาคเหนือ,แม่ฮ่องสอน,ชาย,1705.0,1711.0,1591.0,1688.0,1563.0,2133.0,2346.0,1911.0,1774.0,1657.0
113,ภาคเหนือ,แม่ฮ่องสอน,หญิง,1647.0,1681.0,1635.0,1522.0,1472.0,1993.0,2110.0,1848.0,1676.0,1631.0
114,ภาคเหนือ,นครสวรรค์,รวม,10813.0,10193.0,9934.0,9426.0,8699.0,8433.0,7683.0,7034.0,7089.0,6605.0
115,ภาคเหนือ,นครสวรรค์,ชาย,5557.0,5244.0,5120.0,4802.0,4499.0,4399.0,4015.0,3634.0,3672.0,3434.0
116,ภาคเหนือ,นครสวรรค์,หญิง,5256.0,4949.0,4814.0,4624.0,4200.0,4034.0,3668.0,3400.0,3417.0,3171.0
117,ภาคเหนือ,อุทัยธานี,รวม,3263.0,3061.0,2945.0,2830.0,2555.0,2505.0,2526.0,2342.0,2258.0,2124.0
118,ภาคเหนือ,อุทัยธานี,ชาย,1658.0,1610.0,1484.0,1452.0,1341.0,1275.0,1294.0,1230.0,1161.0,1121.0
119,ภาคเหนือ,อุทัยธานี,หญิง,1605.0,1451.0,1461.0,1378.0,1214.0,1230.0,1232.0,1112.0,1097.0,1003.0
120,ภาคเหนือ,กำแพงเพชร,รวม,6397.0,6054.0,6150.0,5490.0,5251.0,5099.0,4746.0,4482.0,4226.0,4257.0
121,ภาคเหนือ,กำแพงเพชร,ชาย,3307.0,3137.0,3245.0,2857.0,2685.0,2720.0,2423.0,2370.0,2197.0,2197.0
122,ภาคเหนือ,กำแพงเพชร,หญิง,3090.0,2917.0,2905.0,2633.0,2566.0,2379.0,2323.0,2112.0,2029.0,2060.0
123,ภาคเหนือ,ตาก,รวม,9006.0,9145.0,9507.0,8777.0,8626.0,12018.0,11497.0,12359.0,10061.0,9174.0
124,ภาคเหนือ,ตาก,ชาย,4636.0,4696.0,4866.0,4601.0,4372.0,6106.0,5930.0,6293.0,5171.0,4843.0
125,ภาคเหนือ,ตาก,หญิง,4370.0,4449.0,4641.0,4176.0,4254.0,5912.0,5567.0,6066.0,4890.0,4331.0
126,ภาคเหนือ,สุโขทัย,รวม,5156.0,4731.0,4629.0,4352.0,4169.0,3921.0,3583.0,3300.0,3216.0,3035.0
127,ภาคเหนือ,สุโขทัย,ชาย,2703.0,2422.0,2385.0,2241.0,2118.0,2004.0,1831.0,1644.0,1673.0,1517.0
128,ภาคเหนือ,สุโขทัย,หญิง,2453.0,2309.0,2244.0,2111.0,2051.0,1917.0,1752.0,1656.0,1543.0,1518.0
129,ภาคเหนือ,พิษณุโลก,รวม,9376.0,8776.0,8874.0,8444.0,7961.0,7908.0,7608.0,7105.0,6628.0,6408.0
130,ภาคเหนือ,พิษณุโลก,ชาย,4846.0,4647.0,4572.0,4314.0,4131.0,4062.0,3920.0,3641.0,3410.0,3306.0
131,ภาคเหนือ,พิษณุโลก,หญิง,4530.0,4129.0,4302.0,4130.0,3830.0,3846.0,3688.0,3464.0,3218.0,3102.0
132,ภาคเหนือ,พิจิตร,รวม,5366.0,4960.0,4782.0,4357.0,4020.0,3942.0,3595.0,3393.0,3363.0,3167.0
133,ภาคเหนือ,พิจิตร,ชาย,2829.0,2511.0,2458.0,2284.0,2063.0,2030.0,1803.0,1681.0,1750.0,1605.0
134,ภาคเหนือ,พิจิตร,หญิง,2537.0,2449.0,2324.0,2073.0,1957.0,1912.0,1792.0,1712.0,1613.0,1562.0
135,ภาคเหนือ,เพชรบูรณ์,รวม,8951.0,8280.0,8042.0,7622.0,7473.0,7296.0,6752.0,6464.0,6236.0,5963.0
136,ภาคเหนือ,เพชรบูรณ์,ชาย,4598.0,4246.0,4106.0,3927.0,3910.0,3768.0,3556.0,3379.0,3247.0,3052.0
137,ภาคเหนือ,เพชรบูรณ์,หญิง,4353.0,4034.0,3936.0,3695.0,3563.0,3528.0,3196.0,3085.0,2989.0,2911.0
138,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,รวม,230933.0,213880.0,210478.0,196982.0,189532.0,186144.0,177035.0,165594.0,158679.0,150987.0
139,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ชาย,118684.0,109698.0,108108.0,101043.0,97348.0,95776.0,90786.0,84821.0,81654.0,77678.0
140,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,หญิง,112249.0,104182.0,102370.0,95939.0,92184.0,90368.0,86249.0,80773.0,77025.0,73309.0
141,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รวม,28623.0,26922.0,26769.0,25177.0,24048.0,23705.0,22660.0,21171.0,20299.0,19197.0
142,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,ชาย,14833.0,13741.0,13623.0,12928.0,12214.0,12260.0,11631.0,10878.0,10567.0,9907.0
143,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,หญิง,13790.0,13181.0,13146.0,12249.0,11834.0,11445.0,11029.0,10293.0,9732.0,9290.0
144,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รวม,16636.0,15489.0,15369.0,14390.0,13565.0,13320.0,12727.0,11830.0,11373.0,10655.0
145,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,ชาย,8655.0,7952.0,7938.0,7437.0,6984.0,6815.0,6546.0,6049.0,5871.0,5389.0
146,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,หญิง,7981.0,7537.0,7431.0,6953.0,6581.0,6505.0,6181.0,5781.0,5502.0,5266.0
147,ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รวม,14680.0,13507.0,13383.0,12609.0,12140.0,11791.0,11139.0,10333.0,9962.0,9486.0
148,ภาคตะวันออกเฉียงเหนือ,สุรินทร์,ชาย,7471.0,6998.0,6804.0,6385.0,6183.0,6026.0,5580.0,5307.0,5114.0,4959.0
